timestamp,src_ip,dst_ip,icmp_type,icmp_code,frame_length,ttl,label
1786194671.6887312,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.6889253,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.7538204,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.7540135,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.8279488,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.8281574,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.894938,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.8951283,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.9538336,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.954038,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.026697,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.0267875,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.1232803,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.1234438,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.2060175,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.2061076,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.2939217,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.2941525,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.4276268,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.4277613,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.5733824,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.573459,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.6827784,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.682984,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.82281,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.8230588,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194672.9142365,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194672.914318,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194673.0073812,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194673.0076113,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194673.1227243,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194673.1227996,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194673.2426565,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194673.242888,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194673.3433695,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194673.343616,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
