flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label,source_dataset,avg_udp_length,min_udp_length,max_udp_length,total_requests,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,avg_ttl
127.0.0.1_127.0.0.1_62571_5015,127.0.0.1,127.0.0.1,62571.0,5015.0,0.0061545372009277,4.0,188,4.0,0.0,188.0,0.0,649.9270163477183,30546.56976834276,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62572_5016,127.0.0.1,127.0.0.1,62572.0,5016.0,0.0153214931488037,4.0,188,4.0,0.0,188.0,0.0,261.0711606990025,12270.34455285312,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62573_5017,127.0.0.1,127.0.0.1,62573.0,5017.0,0.0076558589935302,4.0,188,4.0,0.0,188.0,0.0,522.4756625455451,24556.356139640626,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62574_5018,127.0.0.1,127.0.0.1,62574.0,5018.0,0.0327644348144531,4.0,188,4.0,0.0,188.0,0.0,122.08359529630924,5737.928978926534,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62575_5019,127.0.0.1,127.0.0.1,62575.0,5019.0,0.0581891536712646,4.0,188,4.0,0.0,188.0,0.0,68.74133318036736,3230.842659477266,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62576_5020,127.0.0.1,127.0.0.1,62576.0,5020.0,0.0203897953033447,4.0,188,4.0,0.0,188.0,0.0,196.17656482033647,9220.298546555816,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62577_5021,127.0.0.1,127.0.0.1,62577.0,5021.0,0.0459492206573486,4.0,188,4.0,0.0,188.0,0.0,87.05261901673369,4091.4730937864833,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62578_5022,127.0.0.1,127.0.0.1,62578.0,5022.0,0.0072431564331054,4.0,188,4.0,0.0,188.0,0.0,552.2454246214614,25955.53495720869,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62579_5023,127.0.0.1,127.0.0.1,62579.0,5023.0,0.0316584110260009,4.0,188,4.0,0.0,188.0,0.0,126.34872914862372,5938.390269985314,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62580_5024,127.0.0.1,127.0.0.1,62580.0,5024.0,0.024294376373291,4.0,188,4.0,0.0,188.0,0.0,164.64715696088246,7738.416377161475,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
